@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.unsupervised.attribute.Remove-R3,10-12,16-18,22-24,28-30,32-50'

@attribute posX numeric
@attribute posY numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute Ghost1posX numeric
@attribute Ghost1posY numeric
@attribute DirGhost1 {North,South,East,West,Stop,-1}
@attribute Ghost2posX numeric
@attribute Ghost2posY numeric
@attribute DirGhost2 {North,South,East,West,Stop,-1}
@attribute Ghost3posX numeric
@attribute Ghost3posY numeric
@attribute DirGhost3 {North,South,East,West,Stop,-1}
@attribute Ghost4posX numeric
@attribute Ghost4posY numeric
@attribute DirGhost4 {North,South,East,West,Stop,-1}
@attribute DirPACMAN {North,South,East,West}

@data
10,4,True,True,True,True,1,1,East,11,3,East,17,6,East,25,13,East,South
11,6,True,True,False,True,1,1,East,11,3,East,17,6,East,25,13,East,South
11,5,True,True,False,True,1,1,East,11,3,East,17,6,East,25,13,East,South
11,4,True,True,False,True,1,1,East,11,3,East,17,6,East,25,13,East,South
11,3,True,False,False,True,1,1,East,3,1,East,17,6,East,25,13,East,South
11,3,True,False,False,True,1,1,East,3,1,East,17,6,East,25,13,East,South
14,11,True,True,True,True,1,1,East,3,1,East,17,6,East,25,13,East,South
14,10,True,True,True,True,1,1,East,3,1,East,17,6,East,25,13,East,South
14,9,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,South
14,8,True,True,True,True,1,1,East,3,1,East,17,6,East,25,13,East,South
14,7,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,South
14,6,True,True,True,True,1,1,East,3,1,East,17,6,East,25,13,East,South
17,13,True,True,True,True,4,8,North,6,12,West,12,10,East,16,13,South,South
17,12,True,True,True,True,4,9,North,6,11,South,12,10,East,16,12,South,South
12,11,True,True,True,True,7,9,East,5,9,West,12,10,East,7,1,East,South
12,10,True,True,True,True,8,9,East,6,9,East,5,1,East,7,1,East,South
9,9,True,True,True,True,1,1,East,5,7,West,5,1,East,7,1,East,South
9,8,True,True,True,True,1,1,East,5,8,North,5,1,East,7,1,East,South
9,7,True,True,True,True,1,1,East,6,8,East,5,1,East,7,1,East,South
6,10,True,True,False,True,6,5,West,8,8,East,13,9,East,16,5,East,South
6,9,True,True,True,True,5,5,West,9,8,East,13,9,East,16,5,East,South
6,8,True,True,True,True,5,5,West,9,9,North,13,9,East,16,5,East,South
17,8,True,True,True,True,1,4,North,3,1,East,5,1,East,15,3,South,South
17,7,True,False,True,True,1,3,South,3,1,East,5,1,East,15,3,East,South
17,7,True,False,True,True,1,4,North,3,1,East,5,1,East,16,3,West,South
18,6,True,True,False,False,1,6,North,3,1,East,5,1,East,15,4,North,South
18,5,True,True,False,True,1,5,South,3,1,East,5,1,East,15,5,South,South
18,4,True,True,False,True,1,6,North,3,1,East,5,1,East,15,4,North,South
10,8,True,True,False,True,2,3,East,3,1,East,5,1,East,7,1,East,South
10,7,True,True,False,True,2,3,East,3,1,East,5,1,East,7,1,East,South
10,6,True,True,False,True,2,4,North,3,1,East,5,1,East,7,1,East,South
10,5,True,True,True,True,1,4,West,3,1,East,5,1,East,7,1,East,South
14,10,True,True,False,False,5,4,South,3,1,East,5,1,East,12,9,North,South
14,9,True,True,True,True,5,4,South,3,1,East,5,1,East,12,9,North,South
10,8,True,True,False,True,4,3,South,3,1,East,5,1,East,7,1,East,South
10,7,True,True,False,True,4,3,South,3,1,East,5,1,East,7,1,East,South
10,6,True,True,False,True,4,3,South,3,1,East,5,1,East,7,1,East,South
10,5,True,True,True,True,4,3,South,3,1,East,5,1,East,7,1,East,South
6,4,True,True,True,True,5,4,East,3,1,East,5,1,East,7,1,East,South
6,3,True,False,True,True,4,4,West,3,1,East,5,1,East,7,1,East,South
6,4,True,True,True,True,5,4,North,3,1,East,5,1,East,7,1,East,South
